greek,russian,english,example,category
τα μετόπισθεν,тыл,"rear, backline",Τα μετόπισθεν παρέχουν κρίσιμη υποστήριξη στις δυνάμεις που επιχειρούν στο πεδίο.,21 Aug
τα πυρηνικά όπλα,ядерное оружие,nuclear weapons,"Τα πυρηνικά όπλα παραμένουν απειλή για την ανθρωπότητα, τόνισε ο Γ.Γ. του ΟΗΕ.",0 Mar
το δρεπάνι,серп,scythe,Το δρεπάνι χρησιμοποιείται ακόμη σε ορεινά χωριά για τη θερινή συγκομιδή.,22 Aug
το σφυρί,молоток,hammer,"Ο δικαστής χτύπησε το σφυρί, ανακοινώνοντας την ιστορική απόφαση του δικαστηρίου.",22 Aug
το σφυροδρέπανο,серп и молот,hammer and sickle,Το σφυροδρέπανο παραμένει σύμβολο ιδεολογικής αντιπαράθεσης στη σύγχρονη πολιτική.,22 Aug
το τσεκούρι,топор,axe,Το τσεκούρι ως εργαλείο και σύμβολο εξετάζεται σε νέα αρχαιολογική μελέτη.,22 Aug
υπερασπιστής δικαιωμάτων,защитник прав,defender of rights,Ο υπερασπιστής δικαιωμάτων καταδίκασε τις παραβιάσεις που καταγράφηκαν στα σύνορα.,Ιστορία 21
φαντάρος,солдат (разг.),soldier (informal),Ο νεαρός φαντάρος ολοκλήρωσε τη θητεία του αφού υπηρέτησε στον Έβρο επί εννέα μήνες.,20 Dec
ύστερα,"позже, потом","later, afterwards","Ύστερα από μακρές διαπραγματεύσεις, οι δύο πλευρές κατέληξαν σε συμφωνία κατάπαυσης πυρός.",Γ2 exam
διχασμένος,разрывающийся / раздвоенный,torn / divided,Η κοινωνία παραμένει διχασμένη σχετικά με την αύξηση των αμυντικών δαπανών.,Ιστορία 42
κλίμακα,масштаб,scale,"Η ένταση κλιμακώθηκε σε μεγάλη κλίμακα, αναγκάζοντας τη διεθνή κοινότητα να παρέμβει.",19 Aug
---,География и путешествия,,,
άδεια παραμονής,вид на жительство,residence permit,Η διαδικασία χορήγησης άδειας παραμονής απλοποιείται μέσω της νέας ψηφιακής πλατφόρμας.,10 Mar
ήπειρος,континент,continent,Η ήπειρος της Αφρικής αναδεικνύεται σε νέο τουριστικό προορισμό για τους Ευρωπαίους.,21 Mar
αποσκευή,багаж,luggage,Νέοι κανόνες για τις αποσκευές χειρός τίθενται σε ισχύ στις πτήσεις εντός Ευρώπης.,23 Oct — σκευή
αυτοσχεδιάζω,импровизировать,to improvise,Η κυβέρνηση φαίνεται να αυτοσχεδιάζει αντί να εφαρμόζει ολοκληρωμένο σχέδιο δράσης.,16 May
διαδηλωτής/διαδηλώτρια,демонстрант,protester,Οι διαδηλωτές κατέκλυσαν τους δρόμους διαμαρτυρόμενοι για τις κλιματικές πολιτικές.,16 Feb
εκδρομή,экскурсия,excursion,Η σχολική εκδρομή στους Δελφούς δίνει στους μαθητές την ευκαιρία να γνωρίσουν τον αρχαίο πολιτισμό.,6 Jan
εξωτερικό,за границей,abroad,Χιλιάδες Έλληνες αναζητούν ευκαιρίες στο εξωτερικό λόγω της οικονομικής κρίσης.,Ιστορία 31
επιτάσσω / επίταξη,реквизировать / реквизиция,to requisition,Η κυβέρνηση επιτάσσει ξενοδοχεία για τη φιλοξενία σεισμόπληκτων στη Θεσσαλία.,17 Mar
η αυθεντικότητα,подлинность,authenticity,Η αυθεντικότητα της τοπικής κουλτούρας αποτελεί βασικό κίνητρο για τους τουρίστες.,26 May
η χερσόνησος,полуостров,peninsula,Η χερσόνησος του Άθω αποτελεί μοναδικό μνημείο πολιτιστικής κληρονομιάς παγκοσμίως.,13 Jan
ΗΠΑ,США,USA,Οι ΗΠΑ παραμένουν βασικός εμπορικός εταίρος της Ελλάδας στον τομέα της τεχνολογίας.,21 Mar
λειψυδρία,нехватка воды,water scarcity,"Η λειψυδρία πλήττει τα νησιά του Αιγαίου, αναγκάζοντας τις αρχές σε μεταφορά νερού.",14 May
μυστηριώδες νησί,таинственный остров,mysterious island,Ένα μυστηριώδες νησί στο Αιγαίο προσελκύει αρχαιολόγους μετά από νέα ανακάλυψη.,20 Mar
ο προορισμός,место назначения,destination,Η Σαντορίνη παραμένει ο δημοφιλέστερος προορισμός για ξένους τουρίστες στην Ελλάδα.,18 Nov
ορίστηκε,был назначен,was appointed,"Ορίστηκε νέος πρόεδρος του ΕΛΓΑ, με προτεραιότητα τη στήριξη των πληγέντων αγροτών.",Γ2 exam
παράξενο,странный,strange,"Παράξενο φαινόμενο παρατηρήθηκε στη λίμνη Κερκίνη, προκαλώντας ενδιαφέρον επιστημόνων.",9 Dec
Το φαινόμενο ενισχύεται από εξωτερικούς παράγοντες.,Явление усиливается внешними факторами.,The phenomenon is reinforced by external factors.,"Το φαινόμενο ενισχύεται από εξωτερικούς παράγοντες, εκτιμούν ερευνητές του Αστεροσκοπείου.",Фразы уровня Γ2
υπό + αιτιατική,"при, под",under,Η περιοχή τελεί υπό αιτιατική κατάσταση έκτακτης ανάγκης μετά τις πλημμύρες.,25 Sep
